City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,deputatskiy,69.3,139.9,-37.93,98,74,0.93,RU,1674692432
315,ezerelis,54.8833,23.6167,-1.81,82,92,3.48,LT,1674692433
316,charters towers,-20.1,146.2667,28.59,46,14,4.64,AU,1674692433
317,rafsanjan,30.4067,55.9939,1.29,53,64,0.88,IR,1674692434
318,isangel,-19.55,169.2667,32.06,62,20,2.06,VU,1674692435
319,ceres,37.5949,-120.9577,16.87,51,0,3.09,US,1674692306
320,kannod,22.6667,76.7333,17.64,59,96,3.42,IN,1674692436
321,egvekinot,66.3167,-179.1667,-24.62,73,0,8.86,RU,1674692436
322,codrington,-38.2667,141.9667,17.64,48,57,5.09,AU,1674692437
323,sobolevo,54.4299,31.8996,-2.92,75,96,3.83,RU,1674692438
324,fraga,41.5229,0.3489,1.4,82,6,1.52,ES,1674692438
325,upata,8.0086,-62.3989,21.22,94,63,1.67,VE,1674692439
326,vao,-22.6667,167.4833,26.73,80,1,2.46,NC,1674692440
327,ayan,56.45,138.1667,-23.79,69,66,2.97,RU,1674692440
328,skibbereen,51.55,-9.2667,5.06,87,45,3.12,IE,1674692441
329,nome,64.5011,-165.4064,-21.96,59,75,2.06,US,1674692442
330,klaksvik,62.2266,-6.589,2.51,69,100,8.06,FO,1674692442
331,puerto colombia,10.9878,-74.9547,26.05,81,32,10.91,CO,1674692443
332,flinders,-34.5833,150.8552,31.7,67,1,1.79,AU,1674692444
333,manono,-7.3,27.4167,18.79,97,100,1.02,CD,1674692444
334,kagalnik,47.0769,39.323,-0.71,50,0,4.74,RU,1674692445
335,tigil,57.8,158.6667,-3.97,65,100,14.5,RU,1674692446
336,lake cowichan,48.825,-124.0546,6.8,87,100,0.57,CA,1674692446
337,krasnogorsk,55.8225,37.3181,-2.81,86,75,7.0,RU,1674692154
338,keti bandar,24.1447,67.4497,13.77,24,28,5.26,PK,1674692448
339,te anau,-45.4167,167.7167,22.93,39,35,3.7,NZ,1674692448
340,sur,22.5667,59.5289,18.2,47,4,3.18,OM,1674692449
341,saint-georges,12.0564,-61.7485,24.82,78,20,5.14,GD,1674692450
342,tondano,1.3038,124.9112,22.05,88,100,1.03,ID,1674692450
343,kolokani,13.5728,-8.0339,25.36,24,62,2.7,ML,1674692451
344,katsuura,35.1333,140.3,2.8,34,21,0.71,JP,1674692451
345,harper,4.375,-7.7169,26.33,85,66,3.39,LR,1674692452
346,rorvik,64.8621,11.2373,2.99,75,20,4.63,NO,1674692453
347,kropotkin,45.4375,40.5756,-0.68,78,1,3.7,RU,1674692454
348,canto do buriti,-8.11,-42.9444,26.03,51,3,0.26,BR,1674692371
349,esmeraldas,-19.7625,-44.3139,23.58,93,37,1.69,BR,1674692456
350,puerto escondido,15.85,-97.0667,28.46,65,40,2.57,MX,1674692457
351,fairbanks,64.8378,-147.7164,-13.38,76,100,0.0,US,1674692335
352,miquelon,47.0975,-56.3814,-3.0,62,100,8.01,PM,1674692457
353,ancud,-41.8697,-73.8203,13.89,87,91,4.99,CL,1674692458
354,coquimbo,-29.9533,-71.3436,17.85,82,0,4.63,CL,1674692352
355,barrow,71.2906,-156.7887,-26.99,76,0,5.66,US,1674692326
356,niteroi,-22.8833,-43.1036,26.45,81,20,4.63,BR,1674692459
357,provideniya,64.3833,-173.3,-21.47,77,100,10.0,RU,1674692460
358,poum,-20.2333,164.0167,28.4,74,5,3.22,NC,1674692461
359,viedma,-40.8135,-62.9967,25.32,30,28,3.57,AR,1674692429
360,mount isa,-20.7333,139.5,31.87,48,42,2.06,AU,1674692464
361,cockburn town,21.4612,-71.1419,25.48,78,23,8.98,TC,1674692465
362,puerto suarez,-18.95,-57.8,24.87,84,81,1.21,BO,1674692466
363,baruun-urt,46.6806,113.2792,-25.8,91,12,3.27,MN,1674692468
364,rapid valley,44.0625,-103.1463,0.89,73,100,9.83,US,1674692303
365,namatanai,-3.6667,152.4333,29.25,64,94,3.26,PG,1674692470
366,colac,-38.3333,143.5833,18.98,45,49,3.55,AU,1674692471
367,porciuncula,-20.9628,-42.0408,21.32,96,62,1.08,BR,1674692472
368,muisne,0.6,-80.0333,25.23,83,86,3.39,EC,1674692473
369,ipilan,8.8431,117.9033,26.24,83,83,5.75,PH,1674692474
370,almaznyy,48.0448,40.045,-4.53,56,0,3.28,RU,1674692474
371,kimberley,-28.7323,24.7623,20.29,66,96,6.53,ZA,1674692476
372,ovre ardal,61.3167,7.8,0.19,98,100,1.66,NO,1674692476
373,hambantota,6.1241,81.1185,22.97,82,94,5.19,LK,1674692477
374,ghanzi,-21.5667,21.7833,25.98,29,49,5.16,BW,1674692478
375,lebu,-37.6167,-73.65,15.16,79,23,5.83,CL,1674692479
376,winona,43.9666,-91.7668,-1.08,92,100,5.14,US,1674692446
377,clyde river,70.4692,-68.5914,-24.87,70,100,6.69,CA,1674692480
378,pilibanga,29.4916,74.079,7.3,55,0,3.68,IN,1674692481
379,bridlington,54.0831,-0.1919,4.94,83,9,9.03,GB,1674692482
380,lingao,19.9103,109.6859,16.28,91,35,3.7,CN,1674692483
381,coihaique,-45.5752,-72.0662,10.97,76,40,2.06,CL,1674692485
382,pringsewu,-5.3582,104.9744,22.72,87,100,0.01,ID,1674692485
383,den helder,52.9599,4.7593,6.99,100,100,3.09,NL,1674692486
384,lazaro cardenas,17.9583,-102.2,26.45,59,0,3.87,MX,1674692487
385,teacapan,22.55,-105.75,22.03,68,99,4.39,MX,1674692488
386,sosnovo-ozerskoye,52.5249,111.5418,-25.25,93,100,3.23,RU,1674692489
387,buala,-8.145,159.5921,28.9,72,96,2.08,SB,1674692490
388,phan thiet,10.9333,108.1,23.0,66,92,1.34,VN,1674692290
389,riyadh,24.6877,46.7219,13.08,87,94,2.64,SA,1674691760
390,liverpool,53.4106,-2.9779,6.35,92,0,4.12,GB,1674692458
391,san patricio,28.017,-97.5169,16.05,45,0,2.41,US,1674692492
392,jundia,-8.9347,-35.5736,23.44,83,6,2.21,BR,1674692493
393,nuevo progreso,23.1667,-97.95,16.61,46,24,1.34,MX,1674692494
394,esso,55.9333,158.7,-6.02,89,100,18.96,RU,1674692494
395,vardo,70.3705,31.1107,1.89,62,63,11.13,NO,1674692495
396,dzaoudzi,-12.7887,45.2699,27.94,83,0,10.8,YT,1674692495
397,amnat charoen,15.9167,104.75,12.84,88,47,3.14,TH,1674692496
398,sarkand,45.41,79.9186,-12.9,65,1,2.93,KZ,1674692497
399,opuwo,-18.0607,13.84,21.08,70,98,1.57,NA,1674692497
400,quelimane,-17.8786,36.8883,25.97,89,75,4.12,MZ,1674692498
401,zemio,5.0314,25.1361,22.81,38,78,1.06,CF,1674692499
402,kuznetsk,53.1167,46.6004,-11.2,84,18,3.51,RU,1674692500
403,yelizovo,53.1873,158.3805,0.08,86,100,8.05,RU,1674692500
404,bundaberg,-24.85,152.35,29.56,65,62,0.89,AU,1674692501
405,rockingham,42.9668,-71.0995,1.42,90,100,3.15,US,1674692502
406,mount gambier,-37.8333,140.7667,19.01,42,31,3.64,AU,1674692503
407,ixtapa,20.7,-105.2,23.57,69,0,5.14,MX,1674692504
408,ratnagiri,16.9833,73.3,21.36,70,41,3.23,IN,1674692505
409,storforshei,66.4043,14.5233,-0.12,86,20,3.6,NO,1674692506
410,komsomolskiy,40.4272,71.7189,-8.6,86,60,3.09,UZ,1674692305
411,seymchan,62.8833,152.4333,-29.83,93,100,2.15,RU,1674692507
412,ilulissat,69.2167,-51.1,-3.99,80,100,1.54,GL,1674692507
413,hofn,64.2539,-15.2082,1.1,73,100,4.93,IS,1674692508
414,mombetsu,44.3525,143.3525,-7.99,49,20,9.26,JP,1674692509
415,zhigansk,66.7697,123.3711,-38.12,97,100,2.63,RU,1674692509
416,hakui,36.8833,136.7833,2.92,69,100,6.83,JP,1674692510
417,ust-kuyga,70.0167,135.6,-46.61,99,99,3.12,RU,1674692511
418,shingu,33.7333,135.9833,3.07,54,24,2.57,JP,1674692512
419,gizo,-8.103,156.8419,27.29,78,100,5.63,SB,1674692512
420,luba,3.4568,8.5547,26.94,82,11,3.24,GQ,1674692513
421,mazyr,52.0495,29.2456,-2.0,84,21,1.86,BY,1674692514
422,mogwase,-25.185,27.2665,19.81,65,52,6.81,ZA,1674692515
423,dire dawa,9.5931,41.8661,17.55,59,38,1.14,ET,1674692516
424,polunochnoye,60.8697,60.4153,-5.57,85,100,4.72,RU,1674692516
425,alofi,-19.0595,-169.9187,27.94,83,75,2.57,NU,1674692517
426,bubaque,11.2833,-15.8333,24.06,77,37,7.86,GW,1674692518
427,vestmanna,62.1564,-7.1664,1.51,87,75,4.63,FO,1674692518
428,pangkalanbuun,-2.6833,111.6167,23.07,99,100,0.47,ID,1674692519
429,ostersund,63.1792,14.6357,2.01,100,98,6.69,SE,1674692519
430,roald,62.5833,6.1333,6.06,72,100,8.47,NO,1674692520
431,mongoumba,3.6415,18.5936,23.85,31,89,1.5,CF,1674692521
432,lewiston,44.1003,-70.2148,-3.2,93,100,0.45,US,1674692522
433,puerto madryn,-42.7692,-65.0385,21.86,33,78,2.41,AR,1674692259
434,singaraja,-8.112,115.0882,27.04,78,100,1.9,ID,1674692524
435,vanderhoof,54.0166,-124.0198,3.14,94,100,2.18,CA,1674692525
436,samfya,-11.3649,29.5565,18.26,93,100,2.95,ZM,1674692353
437,furukawa,38.5717,140.9556,-1.14,62,47,5.68,JP,1674692527
438,seoul,37.5683,126.9778,-6.31,86,100,3.09,KR,1674692267
439,port blair,11.6667,92.75,26.02,83,40,1.03,IN,1674692528
440,gribanovskiy,51.4579,41.9764,-10.24,87,5,1.99,RU,1674692529
